,,,All ABO,O,A,B,AB
All Birth Sexes,All Races/Ethnicities,,553,272,204,63,14
,"White, Non-Hispanic",,293,130,130,27,6
,"Black, Non-Hispanic",,111,55,28,23,5
,Hispanic/Latino,,125,76,37,9,3
,Unknown,,5,1,3,1,0
,"Asian, Non-Hispanic",,11,6,2,3,0
,"American Indian/Alaska Native, Non-Hispanic",,6,3,3,0,0
,"Pacific Islander, Non-Hispanic",,1,1,0,0,0
,"Multiracial, Non-Hispanic",,1,0,1,0,0
Male,All Races/Ethnicities,,357,168,134,44,11
,"White, Non-Hispanic",,183,81,80,17,5
,"Black, Non-Hispanic",,70,30,18,18,4
,Hispanic/Latino,,89,48,32,7,2
,Unknown,,3,1,1,1,0
,"Asian, Non-Hispanic",,7,4,2,1,0
,"American Indian/Alaska Native, Non-Hispanic",,3,3,0,0,0
,"Pacific Islander, Non-Hispanic",,1,1,0,0,0
,"Multiracial, Non-Hispanic",,1,0,1,0,0
Female,All Races/Ethnicities,,196,104,70,19,3
,"White, Non-Hispanic",,110,49,50,10,1
,"Black, Non-Hispanic",,41,25,10,5,1
,Hispanic/Latino,,36,28,5,2,1
,Unknown,,2,0,2,0,0
,"Asian, Non-Hispanic",,4,2,0,2,0
,"American Indian/Alaska Native, Non-Hispanic",,3,0,3,0,0
,"Multiracial, Non-Hispanic",,0,0,0,0,0
